franchise_id,amount,adjustment_id,description,timestamp,season,week,captured_at_utc
0009,0.45,17,Jalin Hyatt - 2 yrs at $1.5 mil dropped 9/1/25 - 2023 2.16,1771690007,2026,2,2026-09-22 08:33:42
0010,1.32,18,M. Koonce - 3 yrs at $2.2 mil dropped 11/16/25,1771690007,2026,2,2026-09-22 08:33:42
0016,0.9,19,Ventrell Miller - 2 yrs at $2.99 mil dropped 8/27/25,1771690007,2026,2,2026-09-22 08:33:42
0009,9.24,2,N. Madubuike - B/R - 4/24/25,1771689440,2026,2,2026-09-22 08:33:42
0006,0.88,20,J. Burton - 3 yrs at $1.47 mil dropped 11/5/25 - 2024 2.14,1771690224,2026,2,2026-09-22 08:33:42
0008,1.02,21,T. Atwell - 2 yrs at $3.41 mil dropped 11/18/25,1771690224,2026,2,2026-09-22 08:33:42
0009,5.31,22,J. Conner - 2 yrs at $17.7 mil dropped 9/30/25,1771690224,2026,2,2026-09-22 08:33:42
0010,2.32,23,T. Johnson - 3 yrs at $3.87 mil dropped 12/17/25,1771690224,2026,2,2026-09-22 08:33:42
0016,0.57,24,L. Taylor - 2 yrs at $1.9 mil dropped 10/11/25,1771690224,2026,2,2026-09-22 08:33:42
0006,2.65,25,J. Mingo - 2 yrs at $2.41 mil dropped 12/24/25 - 2023 1.16,1771690501,2026,2,2026-09-22 08:33:42
0008,5.74,26,R. Stevenson - 3 yrs at $9.56 mil dropped 11/18/25,1771690501,2026,2,2026-09-22 08:33:42
0009,0.56,27,A. Cisco - 2 yrs at $1.87 mil dropped 10/8/25,1771690501,2026,2,2026-09-22 08:33:42
0016,2.24,28,I. Melifonwu - 5 yrs at $1.87 dropped 10/11/25,1771690501,2026,2,2026-09-22 08:33:42
0006,0.71,29,C. Austin - 2 yrs at $2.38 mil dropped 12/25/25,1771690717,2026,2,2026-09-22 08:33:42
0016,13.91,3,T. Tagovailoa - B/R - 4/24/25,1771689440,2026,2,2026-09-22 08:33:42
0009,0.56,30,A. Jennings - 2 yrs at $1.87 mil dropped 11/6/25,1771690717,2026,2,2026-09-22 08:33:42
0016,1.64,31,H. Reddick - 2 yrs at $5.45 mil dropped 10/29/25,1771690717,2026,2,2026-09-22 08:33:42
0009,4.75,32,C. Kupp - 2 yrs at $15.84 mil dropped 12/23/25,1771690778,2026,2,2026-09-22 08:33:42
0009,1.55,33,S. Rankins - 2 yrs at $5.15 mil dropped 12/23/25,1771690808,2026,2,2026-09-22 08:33:42
0017,2.38,34,D. Hopkins - B/R - 4/24/25,1771691001,2026,2,2026-09-22 08:33:42
0019,9.65,35,N. Madubuike - B/R 4/22/25,1771691001,2026,2,2026-09-22 08:33:42
0027,23.34,36,S. Diggs - B/R - 4/24/25,1771691001,2026,2,2026-09-22 08:33:42
0030,0.57,37,J. Owusu-Koramoah - B/R - 4/22/25,1771691001,2026,2,2026-09-22 08:33:42
0032,12.02,38,T. Tagovailoa - B/R - 4/24/25,1771691001,2026,2,2026-09-22 08:33:42
0017,1.12,39,J. Fuller - 3 yrs at $1.87 mil dropped 9/1/25,1771691348,2026,2,2026-09-22 08:33:42
0001,8.55,4,Tyreek Hill - 2 yrs at $28.5 mil dropped 10/4/25,1771689776,2026,2,2026-09-22 08:33:42
0019,1.12,40,C. Izien - 3 yrs at $1.87 mil dropped 11/19/25,1771691348,2026,2,2026-09-22 08:33:42
0021,0.45,41,J. Hyatt - 2 yrs at $1.5 mil dropped 8/12/25 - 2023 2.16,1771691348,2026,2,2026-09-22 08:33:42
0023,1.19,42,J. Polk - 3 yrs at $1.99 mil dropped 8/12/25 - 2024 2.03,1771691348,2026,2,2026-09-22 08:33:42
0027,0.59,43,J. Clowney - 2 yrs at $1.98 mil dropped 8/31/25,1771691348,2026,2,2026-09-22 08:33:42
0029,0.64,44,M. Mayer - 2 yrs at $2.13 mil dropped 8/25/25,1771691348,2026,2,2026-09-22 08:33:42
0030,0.56,45,A. Washington - 2 yrs at $1.86 mil dropped 6/14/25 J1T,1771691348,2026,2,2026-09-22 08:33:42
0032,5.03,46,J. Mixon - 2 yrs at $16.76 mil dropped 10/28/25,1771691348,2026,2,2026-09-22 08:33:42
0017,0.46,47,M. Smith - 2 yrs at $1.54 mil dropped 11/26/25,1771691505,2026,2,2026-09-22 08:33:42
0029,1.58,48,A. Jennings - 2 yrs at $5.28 mil dropped 10/26/25,1771691505,2026,2,2026-09-22 08:33:42
0030,0.59,49,H. Hooker - 2 yrs at $1.98 dropped 6/14/25 J1T,1771691505,2026,2,2026-09-22 08:33:42
0002,0.91,5,M. Corley - 3 yrs at $1.51 mil dropped 9/3/25,1771689776,2026,2,2026-09-22 08:33:42
0032,4.04,50,A. Robinson - 2 yrs at $13.46 mil dropped 11/9/25,1771691505,2026,2,2026-09-22 08:33:42
0017,0.5,51,E. Molden - 2 yrs at $1.65 mil dropped 12/10/25,1771691652,2026,2,2026-09-22 08:33:42
0029,2.42,52,J. Fields - 2 yrs at $8.08 mil dropped 11/18/25,1771691652,2026,2,2026-09-22 08:33:42
0030,0.49,53,L. Musgrave - 2 yrs at $1.64 mil dropped 9/1/25 - 2023 2.12,1771691652,2026,2,2026-09-22 08:33:42
0030,0.75,54,M. Koonce - 2 yrs at $2.51 mil dropped 10/26/25,1771691696,2026,2,2026-09-22 08:33:42
0030,2.43,55,R. Bateman - 3 yrs at $4.05 mil dropped 11/15/25,1771691729,2026,2,2026-09-22 08:33:42
0001,4.85,56,D. Prescott - 2026 B/R,1777310122,2026,2,2026-09-22 08:33:42
0003,3.38,57,J. Jeudy - 2026 B/R,1777310122,2026,2,2026-09-22 08:33:42
0004,4.34,58,G. Kittle - 2026 B/R,1777310122,2026,2,2026-09-22 08:33:42
0005,8.83,59,T. McLaurin - 2026 B/R,1777310122,2026,2,2026-09-22 08:33:42
0004,2.38,6,Logan Wilson - 2 yrs at $7.93 mil dropped 11/5/25,1771689776,2026,2,2026-09-22 08:33:42
0006,9.26,60,B. Aiyuk - 2026 B/R,1777310122,2026,2,2026-09-22 08:33:42
0014,7.38,61,S. Diggs - 2026 B/R,1777310122,2026,2,2026-09-22 08:33:42
0016,7.66,62,T. Tagovailoa - 2026 B/R,1777310122,2026,2,2026-09-22 08:33:42
0018,0.72,63,Q. Williams - 2026 B/R,1777310122,2026,2,2026-09-22 08:33:42
0019,6.88,64,D. Henry - 2026 B/R,1777310122,2026,2,2026-09-22 08:33:42
0020,5.73,65,M. Brown - 2026 B/R,1777310122,2026,2,2026-09-22 08:33:42
