source,franchise_id,conference,franchise,franchise_name,player_id,player_name,occurred_at,round,type,type_desc,event_text,auction_event_type,auction_franchise_id,auction_player_id,auction_amount_raw,auction_amount,auction_forced_franchise_name,event_kind,commissioner_initiated,auction_high_bidder_franchise
transactions,0025,AFC,HOU,Houston Texans,,,2026-08-25T16:44:12Z,,AUCTION_INIT,,NA 1787676252 NA 0025 AUCTION_INIT NA NA NA NA NA NA NA 15795|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,HOU
transactions,0009,NFC,ATL,Atlanta Falcons,,,2026-08-25T16:48:15Z,,AUCTION_WON,,NA 1787676495 NA 0009 AUCTION_WON NA NA NA NA NA NA NA 16662|1.10| NA NA NA NA NA,,,,,,,win,FALSE,ATL
transactions,0009,NFC,ATL,Atlanta Falcons,,,2026-08-25T16:48:15Z,,AUCTION_WON,,NA 1787676495 NA 0009 AUCTION_WON NA NA NA NA NA NA NA 12218|1.10| NA NA NA NA NA,,,,,,,win,FALSE,ATL
transactions,0021,AFC,BAL,Baltimore Ravens,,,2026-08-25T18:46:59Z,,AUCTION_BID,,NA 1787683619 NA 0021 AUCTION_BID NA NA NA NA NA NA NA 10775|2.1| NA NA NA NA NA,,,,,,,bid,FALSE,BAL
transactions,0006,NFC,DET,Detroit Lions,,,2026-08-26T05:33:42Z,,AUCTION_WON,,NA 1787722422 NA 0006 AUCTION_WON NA NA NA NA NA NA NA 17672|1.10| NA NA NA NA NA,,,,,,,win,FALSE,DET
transactions,0013,NFC,ARI,Arizona Cardinals,,,2026-08-26T05:33:42Z,,AUCTION_WON,,NA 1787722422 NA 0013 AUCTION_WON NA NA NA NA NA NA NA 15173|1.10| NA NA NA NA NA,,,,,,,win,FALSE,ARI
transactions,0016,NFC,SEA,Seattle Seahawks,,,2026-08-26T16:59:18Z,,AUCTION_INIT,,NA 1787763558 NA 0016 AUCTION_INIT NA NA NA NA NA NA NA 17743|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,SEA
transactions,0025,AFC,HOU,Houston Texans,,,2026-08-26T17:09:35Z,,AUCTION_WON,,NA 1787764175 NA 0025 AUCTION_WON NA NA NA NA NA NA NA 15795|1.10| NA NA NA NA NA,,,,,,,win,FALSE,HOU
transactions,0025,AFC,HOU,Houston Texans,,,2026-08-26T17:09:35Z,,AUCTION_WON,,NA 1787764175 NA 0025 AUCTION_WON NA NA NA NA NA NA NA 15395|1.10| NA NA NA NA NA,,,,,,,win,FALSE,HOU
transactions,0021,AFC,BAL,Baltimore Ravens,,,2026-08-26T20:08:59Z,,AUCTION_WON,,NA 1787774939 NA 0021 AUCTION_WON NA NA NA NA NA NA NA 10775|2.1| NA NA NA NA NA,,,,,,,win,FALSE,BAL
transactions,0017,AFC,BUF,Buffalo Bills,,,2026-08-27T07:44:52Z,,AUCTION_INIT,,NA 1787816692 NA 0017 AUCTION_INIT NA NA NA NA NA NA NA 12218|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,BUF
transactions,0008,NFC,MIN,Minnesota Vikings,,,2026-08-27T14:19:37Z,,AUCTION_INIT,,NA 1787840377 NA 0008 AUCTION_INIT NA NA NA NA NA NA NA 17753|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,MIN
