captured_at,snapshot_time,season,week,conference,franchise,franchise_name,player_id,player_name,player_team,player_pos,roster_status,player_status
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,DAL,Dallas Cowboys,13066,"Raymond, Kalif",CHI,WR,Taxi,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,DAL,Dallas Cowboys,15797,"Dulcich, Greg",MIA,TE,Taxi,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,DAL,Dallas Cowboys,16216,"Washington, Darnell",PIT,TE,Taxi,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,DAL,Dallas Cowboys,11945,"Santos, Cairo",CHI,PK,Taxi,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,DAL,Dallas Cowboys,13844,"Cooke, Logan",JAC,PN,Taxi,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,DAL,Dallas Cowboys,17625,"Moore, Trey",MIA,LB,Taxi,IR-R
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,DAL,Dallas Cowboys,15464,"Echols, Brandin",PIT,CB,Taxi,Questionable
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,DAL,Dallas Cowboys,15881,"Jones, Jack",SFO,CB,Taxi,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,DAL,Dallas Cowboys,14270,"Epps, Marcus",PHI,S,Taxi,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,DAL,Dallas Cowboys,17670,"Jackson, Domani",FA,CB,Taxi,R
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,DAL,Dallas Cowboys,15369,"Patterson, Riley",MIA,PK,Taxi,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,DAL,Dallas Cowboys,11383,"Martin, Sam",CAR,PN,Taxi,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,DAL,Dallas Cowboys,13731,"Hughes, Mike",ATL,CB,Taxi,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,DAL,Dallas Cowboys,17646,"Kilgore, Jalon",BUF,S,Taxi,R
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,DAL,Dallas Cowboys,16788,"Vele, Devaughn",NOS,WR,Taxi,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,DAL,Dallas Cowboys,14903,"Diggs, Trevon",FA,CB,Taxi,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,NYG,New York Giants,14153,"Allen, Zach",DEN,DT,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,NYG,New York Giants,14802,"Taylor, Jonathan",IND,RB,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,NYG,New York Giants,14779,"Herbert, Justin",LAC,QB,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,NYG,New York Giants,16251,"Gonzalez, Christian",NEP,CB,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,NYG,New York Giants,14832,"Lamb, CeeDee",DAL,WR,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,NYG,New York Giants,16655,"Robinson, Chop",MIA,DE,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,NYG,New York Giants,13837,"Franklin, Zaire",GBP,LB,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,NYG,New York Giants,14897,"Brown, Derrick",CAR,DT,Active,Questionable
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,NYG,New York Giants,14669,"Nixon, Keisean",GBP,CB,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,NYG,New York Giants,15290,"Collins, Nico",HOU,WR,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,NYG,New York Giants,17116,"Sawyer, Jack",PIT,DE,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,NYG,New York Giants,15979,"Dicker, Cameron",LAC,PK,Active,Questionable
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,NYG,New York Giants,17033,"Milroe, Jalen",SEA,QB,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,NYG,New York Giants,17138,"Grant, Kenneth",MIA,DT,Active,IR-R
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,NYG,New York Giants,16670,"McKinstry, Kool-Aid",NOS,CB,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,NYG,New York Giants,16181,"Brown, Chase",CIN,RB,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,NYG,New York Giants,16736,"Brownlee, Jarvis",NYJ,CB,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,NYG,New York Giants,13113,"Watson, Deshaun",CLE,QB,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,NYG,New York Giants,15794,"McBride, Trey",ARI,TE,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,NYG,New York Giants,15428,"Sherwood, Jamien",NYJ,LB,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,NYG,New York Giants,14136,"Samuel, Deebo",SFO,WR,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,NYG,New York Giants,14778,"Tagovailoa, Tua",ATL,QB,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,NYG,New York Giants,16714,"Jones, Jarrian",JAC,CB,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,NYG,New York Giants,13713,"Fitzpatrick, Minkah",NYJ,S,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,NYG,New York Giants,14860,"Jennings, Jauan",MIN,WR,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,NYG,New York Giants,13431,"Sanchez, Rigoberto",IND,PN,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,NYG,New York Giants,15378,"Oweh, Odafe",WAS,DE,Active,Questionable
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,NYG,New York Giants,17509,"Brazzell II, Chris",CAR,WR,Active,IR
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,NYG,New York Giants,17521,"Thomas, Zavion",CHI,WR,Active,R
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,NYG,New York Giants,17552,"Howell, Cashius",CIN,DE,Active,R
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,NYG,New York Giants,17568,"Mesidor, Akheem",LAC,DE,Active,R
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,NYG,New York Giants,17617,"Rolder, Jimmy",DET,LB,Active,Questionable
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,NYG,New York Giants,17563,"Downs, Caleb",DAL,S,Active,R
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,NYG,New York Giants,17466,"Beck, Carson",ARI,QB,Active,R
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,NYG,New York Giants,17060,"Giddens, DJ",IND,RB,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,NYG,New York Giants,15809,"Johnson, Jermaine",TEN,DE,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,NYG,New York Giants,14143,"Knox, Dawson",BUF,TE,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,NYG,New York Giants,16009,"Gibbens, Jack",ARI,LB,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,NYG,New York Giants,14911,"Davis, Ashtyn",FA,S,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,NYG,New York Giants,17161,"Burch, Jordan",ARI,DE,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,NYG,New York Giants,16923,"Tillman, Dondrea",DEN,DE,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,14171,"Burns, Brian",NYG,DE,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,15708,"Hall, Breece",NYJ,RB,Active,Questionable
